appointment_date_continuous,daily_appointments,age,under_12_years_old,over_60_years_old,SMS_received,Hipertension,Diabetes,Alcoholism,Scholarship,average_temp_day,average_rain_day,max_temp_day,max_rain_day,rainy_day_before,storm_day_before,rain_intensity,heat_intensity,gender_F,gender_I,gender_M,specialty_psychotherapy,specialty_speech therapy,specialty_physiotherapy,specialty_Unknown,specialty_occupational therapy,day,month,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2020-01-01,25,11.52,12,0,8,0,0,0,0,21.1068,0.09,24.695999999999998,1.756,1.0,1.0,0.72,1.04,9,0,16,7.0,6.0,6.0,2.0,3.0,1,1,False,False,False,False,False,True,0.0,0.0,0.0,0.0,0.0
2020-01-02,33,16.757575757575758,14,1,6,2,1,0,1,20.80727272727273,0.16090909090909092,24.666666666666668,2.1999999999999997,0.8787878787878788,0.8787878787878788,0.696969696969697,1.3333333333333333,4,1,28,12.0,4.0,7.0,3.0,4.0,2,1,False,False,False,True,False,False,25.0,0.0,0.0,0.0,0.0
2020-01-03,18,13.38888888888889,9,0,4,0,1,0,2,20.99111111111111,0.2088888888888889,24.677777777777777,2.188888888888889,0.8333333333333334,0.8333333333333334,0.7222222222222222,1.5,4,0,14,3.0,4.0,5.0,2.0,3.0,3,1,False,False,False,False,False,False,33.0,0.0,0.0,0.0,0.0
2020-01-04,16,24.9375,6,3,3,2,1,1,1,20.415625,0.053125,23.975,0.64375,1.0,1.0,0.3125,1.0,9,0,7,6.0,1.0,3.0,2.0,0.0,4,1,False,True,False,False,False,False,18.0,0.0,0.0,0.0,0.0
2020-01-05,15,16.2,7,1,2,1,0,0,1,21.15266666666667,0.4033333333333334,24.2,5.379999999999999,1.0,1.0,0.7333333333333333,1.2666666666666666,6,0,9,3.0,2.0,2.0,5.0,2.0,5,1,False,False,True,False,False,False,16.0,0.0,0.0,0.0,0.0
2020-01-06,2,13.0,1,0,1,0,1,0,0,24.475,0.36,28.65,3.9,1.0,1.0,1.0,0.0,0,0,2,1.0,0.0,0.0,1.0,0.0,6,1,True,False,False,False,False,False,15.0,0.0,0.0,0.0,0.0
2020-01-07,7,17.571428571428573,4,1,1,1,0,0,1,19.19,0.09714285714285716,21.714285714285715,0.9142857142857144,0.8571428571428571,0.8571428571428571,0.2857142857142857,1.8571428571428572,0,0,7,2.0,0.0,1.0,3.0,0.0,7,1,False,False,False,False,True,False,2.0,0.0,0.0,0.0,0.0
2020-01-08,32,20.40625,13,4,9,2,0,0,2,20.0309375,0.1521875,23.2,1.896875,0.96875,0.96875,0.46875,1.34375,6,0,26,10.0,8.0,6.0,6.0,2.0,8,1,False,False,False,False,False,True,7.0,25.0,0.0,16.571428571428573,0.0
2020-01-09,17,10.588235294117647,10,0,4,0,0,0,4,19.811764705882354,0.1588235294117647,24.08235294117647,2.588235294117647,0.9411764705882353,0.9411764705882353,0.4117647058823529,1.1764705882352942,6,0,11,4.0,5.0,2.0,4.0,1.0,9,1,False,False,False,True,False,False,32.0,33.0,0.0,17.571428571428573,0.0
2020-01-10,38,14.552631578947368,18,1,14,3,0,2,2,21.263157894736842,0.31605263157894736,24.68421052631579,3.6315789473684212,0.9473684210526315,0.9473684210526315,0.7894736842105263,1.4736842105263157,6,1,31,13.0,4.0,6.0,8.0,5.0,10,1,False,False,False,False,False,False,17.0,18.0,0.0,15.285714285714286,0.0
2020-01-11,15,18.866666666666667,7,2,5,1,0,0,2,19.96333333333333,0.13466666666666666,23.16,1.9933333333333332,0.8,0.8,0.7333333333333333,1.8666666666666667,4,0,11,3.0,3.0,4.0,2.0,2.0,11,1,False,True,False,False,False,False,38.0,16.0,0.0,18.142857142857142,0.0
2020-01-12,2,13.5,1,0,1,0,0,0,0,16.705,0.01,21.0,0.15000000000000002,1.0,1.0,0.0,1.5,0,0,2,1.0,1.0,0.0,0.0,0.0,12,1,False,False,True,False,False,False,15.0,15.0,0.0,18.0,0.0
2020-01-13,5,18.6,3,0,3,0,0,0,0,19.242,0.132,21.86,1.34,1.0,1.0,0.8,1.4,1,0,4,1.0,3.0,1.0,0.0,0.0,13,1,True,False,False,False,False,False,2.0,2.0,0.0,16.142857142857142,0.0
2020-01-14,14,13.285714285714286,7,1,2,0,0,0,0,20.486428571428572,0.1157142857142857,23.928571428571427,2.1714285714285717,1.0,1.0,0.5,1.0714285714285714,3,0,11,2.0,3.0,2.0,5.0,0.0,14,1,False,False,False,False,True,False,5.0,7.0,0.0,16.571428571428573,0.0
2020-01-15,17,18.705882352941178,6,2,5,1,1,0,0,19.770000000000003,0.03882352941176471,23.46470588235294,0.13529411764705881,0.9411764705882353,0.9411764705882353,0.058823529411764705,1.411764705882353,3,0,14,4.0,1.0,4.0,4.0,3.0,15,1,False,False,False,False,False,True,14.0,32.0,0.0,17.571428571428573,0.0
2020-01-16,17,21.352941176470587,6,2,10,2,0,0,1,20.269411764705882,0.12058823529411763,23.623529411764707,0.9647058823529411,0.8823529411764706,0.8823529411764706,0.4117647058823529,1.4705882352941178,4,0,13,3.0,4.0,2.0,3.0,3.0,16,1,False,False,False,True,False,False,17.0,17.0,0.0,15.428571428571429,0.0
2020-01-17,29,14.724137931034482,15,0,8,1,0,0,3,20.336206896551722,0.21758620689655175,23.83103448275862,1.6655172413793102,0.7586206896551724,0.7586206896551724,0.3793103448275862,2.0344827586206895,10,0,19,6.0,3.0,5.0,8.0,5.0,17,1,False,False,False,False,False,False,17.0,38.0,0.0,15.428571428571429,0.0
2020-01-18,1,19.0,0,0,0,0,0,0,1,20.73,0.13,24.2,1.7,0.0,0.0,0.0,4.0,0,0,1,0.0,0.0,0.0,1.0,0.0,18,1,False,True,False,False,False,False,29.0,15.0,0.0,14.142857142857142,0.0
2020-01-19,19,18.31578947368421,6,1,6,1,0,0,0,21.79157894736842,0.10210526315789474,24.36315789473684,0.8526315789473684,0.8947368421052632,0.8947368421052632,0.2631578947368421,1.368421052631579,1,0,18,2.0,4.0,4.0,5.0,4.0,19,1,False,False,True,False,False,False,1.0,2.0,0.0,12.142857142857142,0.0
2020-01-20,8,14.625,2,0,3,0,0,0,1,20.51625,0.37125,23.525,5.025,0.875,0.875,0.75,1.875,1,0,7,4.0,1.0,0.0,1.0,1.0,20,1,True,False,False,False,False,False,19.0,5.0,0.0,14.571428571428571,0.0
2020-01-21,6,25.0,3,1,1,1,0,0,0,19.036666666666665,0.05166666666666667,23.150000000000002,0.9500000000000001,1.0,1.0,0.5,1.0,1,0,5,1.0,1.0,2.0,1.0,0.0,21,1,False,False,False,False,True,False,8.0,14.0,0.0,15.0,0.0
2020-01-22,15,12.4,7,0,2,1,0,1,1,20.566,0.14666666666666667,24.32,2.093333333333333,0.8666666666666667,0.8666666666666667,0.7333333333333333,1.3333333333333333,4,0,11,4.0,1.0,3.0,2.0,4.0,22,1,False,False,False,False,False,True,6.0,17.0,0.0,13.857142857142858,0.0
2020-01-23,13,17.692307692307693,7,1,3,0,0,0,0,17.626153846153844,0.06307692307692309,21.915384615384614,0.6615384615384615,0.8461538461538461,0.8461538461538461,0.15384615384615385,1.7692307692307692,3,0,10,2.0,2.0,4.0,3.0,2.0,23,1,False,False,False,True,False,False,15.0,17.0,0.0,13.571428571428571,0.0
2020-01-24,11,11.727272727272727,7,1,2,0,0,0,1,19.900000000000002,0.13272727272727275,22.445454545454545,2.018181818181818,1.0,1.0,0.6363636363636364,1.2727272727272727,4,0,7,1.0,4.0,2.0,3.0,1.0,24,1,False,False,False,False,False,False,13.0,29.0,0.0,13.0,0.0
2020-01-25,10,17.4,3,1,5,0,1,1,1,20.909,0.197,24.25,2.9699999999999998,0.7,0.7,0.8,2.0,1,0,9,1.0,1.0,3.0,4.0,1.0,25,1,False,True,False,False,False,False,11.0,1.0,0.0,10.428571428571429,0.0
